"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"CME","322","Environmental Engineering","2737","Civil, Matls & Env Engineering","8","15","13","6","0","0","0","0","2","0","0","0","0","0","0","1","Khodadoust, Amid","45"
"CME","402","Highway Design","2737","Civil, Matls & Env Engineering","28","23","3","0","0","0","0","0","2","0","0","0","0","0","0","0","Peiravian, Farideddin","56"
"CME","403","Hydraulic Design","2737","Civil, Matls & Env Engineering","4","6","3","0","0","0","0","0","0","0","0","0","0","0","0","0","Burke, Christopher B.","13"
"CME","405","Foundation Dsgn& Analysis","2737","Civil, Matls & Env Engineering","21","14","4","4","0","0","0","0","0","0","0","0","0","0","0","0","Schulenberg, Joseph W","43"
"CME","407","Soil And Site Improvement","2737","Civil, Matls & Env Engineering","17","9","5","0","0","0","0","0","0","0","0","0","0","0","0","0","Schulenberg, Joseph W","31"
"CME","408","Traffic Engineer & Design","2737","Civil, Matls & Env Engineering","6","9","19","2","0","0","0","0","0","0","0","0","0","0","0","0","Mohammadian, Abolfazl","36"
"CME","421","Water Treatment Design","2737","Civil, Matls & Env Engineering","9","11","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Khodadoust, Amid","21"
"CME","434","Finite Element Analysis I","2737","Civil, Matls & Env Engineering","42","43","16","0","0","0","0","0","0","0","0","0","0","0","0","0","Karpov, Eduard","101"
"CME","486","Construction Equipment","2737","Civil, Matls & Env Engineering","13","14","8","5","2","0","0","0","0","0","0","0","0","0","0","3","Ataei, Hossein","45"
"CME","494","Rail Transportation","2737","Civil, Matls & Env Engineering","14","6","1","0","0","0","0","0","1","0","0","0","0","0","0","0","Peiravian, Farideddin","22"
"CME","494","Structural Strengthening","2737","Civil, Matls & Env Engineering","23","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sneed, Lesley H","30"
"CME","494","Sustainable Construction","2737","Civil, Matls & Env Engineering","12","15","5","0","0","0","0","0","0","0","0","0","0","0","0","1","Karatas, Aslihan","33"
